"","dates","I"
"1",2021-06-01,7
"2",2021-06-02,6
"3",2021-06-03,2
"4",2021-06-04,10
"5",2021-06-05,6
"6",2021-06-06,3
"7",2021-06-07,6
"8",2021-06-08,13
"9",2021-06-09,8
"10",2021-06-10,6
"11",2021-06-11,6
"12",2021-06-12,10
"13",2021-06-13,6
"14",2021-06-14,20
"15",2021-06-15,9
"16",2021-06-16,7
"17",2021-06-17,9
"18",2021-06-18,18
"19",2021-06-19,16
"20",2021-06-20,6
"21",2021-06-21,22
"22",2021-06-22,21
"23",2021-06-23,26
"24",2021-06-24,26
"25",2021-06-25,22
"26",2021-06-26,24
"27",2021-06-27,24
"28",2021-06-28,37
"29",2021-06-29,29
"30",2021-06-30,40
"31",2021-07-01,30
"32",2021-07-02,39
"33",2021-07-03,21
"34",2021-07-04,23
"35",2021-07-05,55
"36",2021-07-06,61
"37",2021-07-07,83
"38",2021-07-08,61
"39",2021-07-09,63
"40",2021-07-10,55
"41",2021-07-11,42
"42",2021-07-12,73
"43",2021-07-13,80
"44",2021-07-14,66
"45",2021-07-15,94
"46",2021-07-16,60
"47",2021-07-17,58
"48",2021-07-18,79
"49",2021-07-19,111
"50",2021-07-20,106
"51",2021-07-21,111
"52",2021-07-22,94
"53",2021-07-23,106
"54",2021-07-24,70
"55",2021-07-25,55
"56",2021-07-26,42
"57",2021-07-27,28
"58",2021-07-28,37
"59",2021-07-29,54
"60",2021-07-30,70
"61",2021-07-31,49
"62",2021-08-01,49
"63",2021-08-02,66
"64",2021-08-03,85
"65",2021-08-04,70
"66",2021-08-05,94
"67",2021-08-06,56
"68",2021-08-07,40
"69",2021-08-08,39
"70",2021-08-09,48
"71",2021-08-10,64
"72",2021-08-11,86
"73",2021-08-12,71
"74",2021-08-13,64
"75",2021-08-14,49
"76",2021-08-15,56
"77",2021-08-16,70
"78",2021-08-17,97
"79",2021-08-18,86
"80",2021-08-19,49
"81",2021-08-20,58
"82",2021-08-21,74
"83",2021-08-22,65
"84",2021-08-23,68
"85",2021-08-24,92
"86",2021-08-25,80
"87",2021-08-26,73
"88",2021-08-27,66
"89",2021-08-28,58
"90",2021-08-29,53
"91",2021-08-30,48
"92",2021-08-31,106
"93",2021-09-01,82
"94",2021-09-02,83
"95",2021-09-03,72
"96",2021-09-04,73
"97",2021-09-05,58
"98",2021-09-06,74
"99",2021-09-07,93
"100",2021-09-08,107
"101",2021-09-09,101
"102",2021-09-10,74
"103",2021-09-11,66
"104",2021-09-12,50
"105",2021-09-13,99
"106",2021-09-14,86
"107",2021-09-15,75
"108",2021-09-16,78
"109",2021-09-17,69
"110",2021-09-18,70
"111",2021-09-19,77
"112",2021-09-20,76
"113",2021-09-21,88
"114",2021-09-22,98
"115",2021-09-23,103
"116",2021-09-24,96
"117",2021-09-25,103
"118",2021-09-26,93
"119",2021-09-27,102
"120",2021-09-28,119
"121",2021-09-29,113
"122",2021-09-30,100
"123",2021-10-01,104
"124",2021-10-02,111
"125",2021-10-03,118
"126",2021-10-04,127
"127",2021-10-05,112
"128",2021-10-06,143
"129",2021-10-07,122
"130",2021-10-08,134
"131",2021-10-09,141
"132",2021-10-10,87
"133",2021-10-11,103
"134",2021-10-12,124
"135",2021-10-13,161
"136",2021-10-14,145
"137",2021-10-15,151
"138",2021-10-16,178
"139",2021-10-17,156
"140",2021-10-18,188
"141",2021-10-19,155
"142",2021-10-20,179
"143",2021-10-21,159
"144",2021-10-22,126
"145",2021-10-23,141
"146",2021-10-24,173
"147",2021-10-25,161
"148",2021-10-26,161
"149",2021-10-27,184
"150",2021-10-28,147
"151",2021-10-29,110
"152",2021-10-30,94
"153",2021-10-31,149
"154",2021-11-01,122
